vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
29305732,2011 Subaru Outback Sport Package,2011,250000,St. Catharines,ON,Manual,8000,13,169,0.13,0.0169,250,62500,3976.97776314899,6984.88216106092,10639.710789526,False,False
28926745,2020 Subaru Outback Premier XT,2020,53076,Ottawa,ON,Automatic,41999,4,16,0.22,0.0484,53.076,2817.061776,29650.539186805,35541.2013349469,39598.8504959464,False,True
29584226,"2019 Subaru Outback Touring, Eyesight Pkg, Sunroof, Adaptive Cruise, Blind Spot Alert, Heated Seats, Power Seat & More!",2019,69000,Guelph,ON,Automatic,29888,5,25,0.21,0.0441,69,4761,26383.0865619477,31744.8023344866,35937.3989255778,False,False
29593235,2019 Subaru Outback 2.5i,2019,129000,Bible Hill,NS,Automatic,27888,5,25,0.21,0.0441,129,16641,23894.2945055065,27512.7242305168,31097.6266462237,False,False
29611880,2009 Subaru Outback XT Ltd,2009,249100,Olds,AB,Manual,9000,15,225,0.11,0.0121,249.1,62050.81,1864.49563511203,5155.13092629769,8854.26948501213,False,True
29591890,2021 Subaru Outback Premier XT,2021,16650,Calgary,AB,Automatic,43888,3,9,0.23,0.0529,16.65,277.2225,33948.1461006284,41312.5716347654,45411.3363413854,False,False
29596540,2022 Subaru Outback Touring,2022,24009,Cowansville,QC,Automatic,36990,2,4,0.24,0.0576,24.009,576.432081,36558.0608769689,43561.5718016974,47232.6601458714,False,False
28952330,2015 Subaru Outback Turing,2015,87677,-,ON,,18000,9,81,0.17,0.0289,87.677,7687.256329,16809.4853720878,21856.0666057621,26749.1428340288,False,False
29236645,2001 Subaru Outback,2001,204105,-,ON,,1500,23,529,0.03,0.0009,204.105,41658.851025,1499.99999999993,6480.08386560898,9612.57962588593,False,False
29238168,2013 Subaru Outback Touring 2.5i,2013,270000,-,QC,Automatic,5500,11,121,0.15,0.0225,270,72900,5973.7691107514,8786.71025067705,12082.6106490417,True,False
29148764,2017 Subaru Outback 3.6R Premier w/Tech Pkg,2017,236000,Laval,QC,Automatic,13999,7,49,0.19,0.0361,236,55696,14835.8486024285,17231.0378985463,20223.2546798148,True,False
28094262,2019 Subaru Outback Limited | Harmon/Kardon Speakers | Heated Seats,2019,86515,Calgary,AB,Automatic,34604,5,25,0.21,0.0441,86.515,7484.845225,25652.4648782859,30432.2940094685,34447.9956797304,False,True
28359019,2021 Subaru Outback Touring | Sunroof | Backup Camera | Heated Seats,2021,63972,Calgary,AB,Automatic,37650,3,9,0.23,0.0529,63.972,4092.416784,31954.6176674601,37399.2576533545,41022.4747310003,False,False
23988703,2018 Subaru Outback LTD NAV SUNROOF MINT! WE FINANCE ALL CREDIT!,2018,67480,London,ON,Automatic,34995,6,36,0.2,0.04,67.48,4553.5504,24007.0309776609,29483.7948268691,33957.8850015628,False,True
29572312,2013 Subaru Outback 2.5i w/Limited Pkg,2013,192684,Calgary,AB,Automatic,24994,11,121,0.15,0.0225,192.684,37127.123856,9068.02215209384,12119.9849768911,16212.7419532111,False,True
29220291,2011 Subaru Outback 3.6R w/Limited Pkg,2011,230000,Sainte-Marthe-sur-le-Lac,QC,Automatic,5500,13,169,0.13,0.0169,230,52900,4775.48601977825,7811.24914638422,11672.4408062726,False,False
29589265,2011 Subaru Outback 3.6R w/Limited Pkg,2011,147000,Dorval,QC,Automatic,10990,13,169,0.13,0.0169,147,21609,8136.41951840344,12126.3814521574,16838.2222951978,False,False
29590968,2024 Subaru Outback Limited,2024,0,Repentigny,QC,Automatic,44788,0,0,0.26,0.0676,0,0,43901.9999999999,51973.9929621165,55089.831145578,False,False
29345697,2013 Subaru Outback,2013,196000,Vaughan,ON,Automatic,12500,11,121,0.15,0.0225,196,38416,8933.96035229322,11951.6016853406,16010.3475969004,False,False
29418100,2010 Subaru Outback Prem Pwr Moon,2010,166000,Seguin,ON,Automatic,9995,14,196,0.12,0.0144,166,27556,6205.86498532366,9994.99999999999,14545.0656575928,False,False
29617068,2013 Subaru Outback LIMITED,2013,215000,Toronto,ON,Automatic,11000,11,121,0.15,0.0225,215,46225,8168.15094746283,11030.7284014686,14894.3123373523,False,False
28997492,2021 Subaru Outback Touring,2021,69644,Okotoks,AB,Automatic,37998,3,9,0.23,0.0529,69.644,4850.286736,31717.3308612408,36961.3505225907,40527.3661818612,False,False
29577516,"2017 Subaru Outback 3.6R w/ Backup Cam, Sunroof, Bluetooth, Heated Steering Wheel",2017,115590,Etobicoke,ON,Automatic,26990,7,49,0.19,0.0361,115.59,13361.0481,19728.497148781,23808.0873304433,28032.2998283934,False,False
29591822,2020 Subaru Outback 2.5i Premier >>No accident<<,2020,20840,Thornhill,ON,Automatic,39985,4,16,0.22,0.0484,20.84,434.3056,31009.7330475958,38229.3683132161,42610.8174829004,False,False
29403111,2011 Subaru Outback,2011,213000,-,QC,,4900,13,169,0.13,0.0169,213,45369,5457.6852437785,8578.82790578208,12615.0045369442,True,False
29586031,2019 Subaru Outback Touring,2019,50304,Montreal,QC,Automatic,26800,5,25,0.21,0.0441,50.304,2530.492416,27166.7043438922,33215.9502598095,37596.9134960865,True,False
29586032,2022 Subaru Outback Touring Eyesight,2022,16575,Montreal,QC,Automatic,36300,2,4,0.24,0.0576,16.575,274.730625,36872.872817223,44207.1666689402,47952.7602196638,True,False
29583256,2020 Subaru Outback 2.5i Convenience *RÉSERVÉ*,2020,37493,Varennes,QC,Automatic,28991,4,16,0.22,0.0484,37.493,1405.725049,30306.1480080613,36813.7854765339,41028.1355079731,True,False
29568393,2012 Subaru Outback Premium,2012,220692,Laval,QC,Automatic,7995,12,144,0.14,0.0196,220.692,48704.958864,6463.73920501073,9411.73995189676,13307.4028338083,False,False
29482397,2014 Subaru Outback LIMITED,2014,261251,Ottawa,ON,Automatic,9995,10,100,0.16,0.0256,261.251,68252.085001,7957.01336836323,10629.4632357611,13896.0454962312,False,False
29620293,2022 Subaru Outback Premier,2022,55000,DARTMOUTH,NS,Automatic,42900,2,4,0.24,0.0576,55,3025,35252.2310471827,40993.5781792098,44353.265833086,False,False
29301605,2016 Subaru Outback 3.6R w/Limited &amp;amp; Tech Pkg 5dr Wgn CVT 3.6R w/Limited &amp;amp; Tech Pkg,2016,161543,Smiths Falls,ON,CVT,19995,8,64,0.18,0.0324,161.543,26096.140849,15724.0818790673,18905.723564533,22869.718690417,False,False
29574438,2024 Subaru Outback Onyx,2024,0,Lethbridge,AB,Automatic,43590,0,0,0.26,0.0676,0,0,43901.9999999999,51973.9929621165,55089.831145578,True,False
29092772,2011 Subaru Outback 2.5i Prem,2011,310000,Richmond Hill,ON,Automatic,5500,13,169,0.13,0.0169,310,96100,1607.91179795717,5003.07968679309,8035.58661988576,False,False
29576576,2021 Subaru Outback Premier XT,2021,22359,Mount Pearl,NL,Automatic,44755,3,9,0.23,0.0529,22.359,499.924881,33706.3341785902,40815.8502997559,44857.4041901999,False,False
29398616,2009 Subaru Outback LIMITED,2009,258495,Calgary,AB,Automatic,5500,15,225,0.11,0.0121,258.495,66819.665025,1490.82546032562,4793.80485375584,8395.82978094259,False,False
29568337,2010 Subaru Outback 2.5,2010,237019,Ottawa,ON,Automatic,8200,14,196,0.12,0.0144,237.019,56178.006361,3340.26598894076,6494.19813013962,10315.1608557947,False,False
29564555,2015 Subaru Outback 3.6R,2015,61018,Saskatoon,SK,Automatic,32500,9,81,0.17,0.0289,61.018,3723.196324,17922.5425865601,23872.6286216637,29034.828291542,False,True
29590718,2012 Subaru Outback Cuir,2012,153000,-,QC,,10750,12,144,0.14,0.0196,153,23409,9206.03751715031,12954.2157960378,17543.4886508288,False,False
29525048,2014 Subaru Outback (GARANTIE 2 ANS INCLUS)Premium,2014,135394,Laval,QC,Automatic,15995,10,100,0.16,0.0256,135.394,18331.535236,13039.734030074,16916.5550530384,21474.6837898154,False,False
