vip,title,year,kms,city,province,price,transmission
28656180,2018 Toyota Corolla,2018,133000.0,Penobsquis,NB,18500.0,Manual
28358354,2020 Toyota Corolla Se,2020,64000.0,Niagara Falls,ON,25000.0,Automatic
28630107,"2010 Toyota Corolla Toyota Corolla CE, 2010",2010,266000.0,Terrebonne,QC,2995.0,Manual
28647290,2022 Toyota Corolla LE,2022,12000.0,-,ON,26500.0,Automatic
28597094,"2016 Toyota Corolla S $199B/W /w Backup Camera, Sun Roof, Heated Seats. DRIVE HOME TODAY!",2016,110457.0,Calgary,AB,23988.0,Automatic
28523957,2018 Toyota Corolla * MANUELLE * SE * CAMERA DE RECUL *,2018,100700.0,Mirabel,QC,17495.0,Manual
28368202,2007 Toyota Corolla ce,2007,138000.0,Calgary,AB,6000.0,Automatic
28572930,2015 Toyota Corolla,2015,0.0,-,ON,13000.0,Automatic
28414850,"2019 Toyota Corolla SE AUTOMATIQUE 1.8 L, BANCS CHAUFFANT, CUIR/TISSUS",2019,78429.0,Notre-Dame-des-Pins,QC,13995.0,Automatic
28531921,2014 Toyota Corolla L,2014,246898.0,Mississauga,ON,9999.0,Automatic
28604790,2014 Toyota Corolla,2014,150000.0,Laval,QC,14000.0,Automatic
28441825,2013 Toyota Corolla S 5-Speed Automatic,2013,124999.0,Mississauga,ON,11999.0,Automatic
25650928,2020 Toyota Corolla .,2020,27849.0,Lachine,QC,14000.0,Automatic
28205841,2010 Toyota Corolla S | SPORT | ALLOY WHEELS | SPORT SPOILER | HEATED SEATS,2010,300270.0,Richmond Hill,ON,5999.0,Automatic
28571493,2020 Toyota Corolla LE,2020,88519.0,Lower Sackville,NS,24400.0,Automatic
28308209,2020 Toyota Corolla,2020,45875.0,Prince George,BC,28864.0,Automatic
28642493,2010 Toyota Corolla,2010,103452.0,-,ON,12000.0,
28133584,2009 Toyota Corolla Base,2009,186254.0,Mirabel,QC,5495.0,Manual
28632182,2003 Toyota Corolla Lt,2003,299000.0,Calgary,AB,3000.0,Automatic
28462475,2003 Toyota Corolla LE,2003,212043.0,Vaughan,ON,4700.0,Automatic
28310372,2015 Toyota Corolla,2015,164901.0,Hamilton,ON,12777.0,Manual
28471993,2010 Toyota Corolla,2010,138000.0,Markham,ON,9000.0,Automatic
28545889,2023 Toyota Corolla Core,2023,0.0,Toronto,ON,52839.0,Manual
28616790,2017 Toyota Corolla SE,2017,109173.0,Ottawa,ON,15995.0,Manual
28485674,"2019 Toyota Corolla LE $169B/W /w Backup Cam, Heated Seats. DRIVE HOME TODAY!",2019,85169.0,Kelowna,BC,23889.0,Automatic
28604789,2007 Toyota Corolla,2007,205350.0,-,ON,4000.0,
28508276,2015 Toyota Corolla,2015,245000.0,-,ON,8000.0,
28533338,2014 Toyota Corolla S,2014,244000.0,-,ON,9990.0,Automatic
28249905,2016 Toyota Corolla S,2016,143065.0,Chatham,ON,14998.0,Manual
23307771,2022 Toyota Corolla LE,2022,8220.0,London,ON,26098.0,Automatic
28582922,2005 Toyota Corolla,2005,239000.0,Vaughan,ON,4500.0,Automatic
28628054,2016 Toyota Corolla S,2016,127191.0,Edmonton,AB,15750.0,Automatic
28539615,"2020 Toyota Corolla LE - Heated Seats, Back Up Camera",2020,66783.0,Saskatoon,SK,25989.0,Automatic
28541587,2009 Toyota Corolla,2009,217.0,-,AB,5000.0,
27944586,2015 Toyota Corolla,2015,127852.0,Calgary,AB,17412.0,
28584622,"2022 Toyota Corolla SE HBK 2.0L AUTO, ANGLE MORT LOUVOIMENT, VGA AVG",2022,5733.0,Notre-Dame-des-Pins,QC,18995.0,Automatic
28647153,2007 Toyota Corolla,2007,1170000.0,-,ON,6500.0,
28629200,2020 Toyota Corolla,2020,79500.0,Oshawa,ON,26000.0,Automatic
28566600,2011 Toyota Corolla,2011,315000.0,Toronto,ON,4000.0,Manual
28533040,2010 Toyota Corolla,2010,96000.0,-,NL,2750.0,
28513635,2018 Toyota Corolla SE/CLEAN TITLE/LOW KM/BACK UP CAM/APPLE CARPLAY/ANDROID AUTO,2018,63000.0,Headingley,MB,22995.0,Automatic
28467381,"2021 Toyota Corolla SE - Heated Seats, Blindspot Monitor, Reverse Camera, Keyless Entry, Adaptive Cruise & More!",2021,51000.0,Guelph,ON,28998.0,Automatic
28528092,2012 Toyota Corolla XRS 2.4L MAGS*CUIR*TOIT OUVRANT*AUTOMATIQUE,2012,202745.0,Charlemagne,QC,11995.0,Automatic
28602586,2006 Toyota Corolla LE,2006,180000.0,Montreal,QC,5700.0,Automatic
28176551,2023 Toyota Corolla LE,2023,0.0,Toronto,ON,26008.0,Automatic
28637804,2014 Toyota Corolla s,2014,260603.0,-,ON,11500.0,
28351378,2005 Toyota Corolla CE,2005,179829.0,Milton,ON,5800.0,Automatic
28544345,2016 Toyota Corolla,2016,77000.0,-,AB,19500.0,
28062702,2019 Toyota Corolla LE,2019,73848.0,Steinbach,MB,22495.0,Automatic
28362275,2005 Toyota Corolla CE One Owner Gas Saver ASIS Special,2005,141900.0,Ramara,ON,6995.0,Automatic
28272979,"2020 Toyota Corolla LE | HAIL DAMAGE, UNDER 70,000KMS, SUNROOF",2020,68330.0,Westlock,AB,22495.0,Automatic
26873954,2020 Toyota Corolla LE,2020,35300.0,Orangeville,ON,26995.0,Automatic
27860517,2020 Toyota Corolla,2020,74732.0,Sarnia,ON,26315.0,
28554394,2015 Toyota Corolla L 4-Speed AT 2015 Toyota Corolla L 4-Speed AT,2015,173300.0,London,ON,14250.0,Automatic
28566398,"2003 Toyota Corolla CE BAS MILEAGE, ÉCONOMIQUE",2003,228355.0,Pincourt,QC,2999.0,Automatic
28559268,2004 Toyota Corolla CE,2004,299999.0,Richmond Hill,ON,2500.0,Automatic
28520331,2013 Toyota Corolla LE,2013,181079.0,Komoka,ON,11495.0,Automatic
28610872,2012 Toyota Corolla LE *Low Mileage | Automatic*,2012,76199.0,Winnipeg,MB,12990.0,Automatic
28393726,2009 Toyota Corolla CE,2009,169000.0,Dartmouth,NS,7500.0,Automatic
28581931,2022 Toyota Corolla LE Advanced Safety Technology,2022,2497.0,Sherwood Park,AB,31726.0,Automatic
28455979,2018 Toyota Corolla CVT,2018,110431.0,Victoriaville,QC,18991.0,CVT
28591064,2014 Toyota Corolla VENDU * SOLD * * SIÈGES CHAUFFANTS * BLUETOOTH,2014,115335.0,Verdun,QC,13802.0,Automatic
28635124,2015 Toyota Corolla LE,2015,282538.0,Toronto,ON,11000.0,Automatic
23601436,2020 Toyota Corolla H-SEATS R-CAM LOW KM MINT! WE FINANCE ALL CREDIT,2020,56643.0,London,ON,30995.0,Automatic
28440574,2015 Toyota Corolla,2015,320244.0,Toronto,ON,9999.0,Automatic
28592082,2010 Toyota Corolla AC,2010,106000.0,Laval,QC,7495.0,Manual
28567285,2008 Toyota Corolla Ce,2008,269229.0,-,AB,5000.0,Automatic
28479024,"2013 Toyota Corolla ALLOY WHEELS,CRUISE CONTROL,POWER WINDOWS, CERTIFIED",2013,170000.0,Mississauga,ON,12250.0,Automatic
28561434,2009 Toyota Corolla CE,2009,126000.0,Laval,QC,8599.0,Automatic
28226320,"2020 Toyota Corolla LE - Keyless Entry, Sunroof, Heated Seats",2020,62063.0,Saskatoon,SK,27497.0,Automatic
28584572,2020 Toyota Corolla LE,2020,117542.0,Saskatoon,SK,26900.0,Automatic
28592330,2017 Toyota Corolla iM,2017,120000.0,-,PE,17000.0,
28335968,2012 Toyota Corolla,2012,225000.0,Dartmouth,NS,7000.0,Automatic
28550124,2010 Toyota Corolla FWD,2010,116000.0,Longueuil,QC,7990.0,Automatic
28543043,2011 Toyota Corolla,2011,300000.0,-,NB,2500.0,Automatic
28592069,2009 Toyota Corolla CE----AUTO+A/C,2009,212000.0,Montreal,QC,5990.0,Automatic
28634114,2007 Toyota Corolla CE (SE),2007,150500.0,Richmond Hill,ON,6500.0,Automatic
28303036,2010 Toyota Corolla S,2010,172514.0,Toronto,ON,9990.0,Automatic
28500049,2015 Toyota Corolla S,2015,114100.0,Moncton,NB,17950.0,Automatic
28515592,2016 Toyota Corolla CE,2016,94164.0,Laval,QC,17298.0,Automatic
28541473,2004 Toyota Corolla,2004,275000.0,Toronto,ON,3500.0,Automatic
28644035,2015 Toyota Corolla LE,2015,162000.0,Calgary,AB,15200.0,Automatic
24114649,2020 Toyota Corolla SE,2020,63535.0,Coquitlam,BC,27988.0,Automatic
28219519,2016 Toyota Corolla LE,2016,140053.0,Ottawa,ON,14582.0,Automatic
28496929,2020 Toyota Corolla SE Upgraded,2020,65000.0,-,ON,28000.0,Automatic
28614285,2021 Toyota Corolla TISSUS,2021,21500.0,Saint-Georges,QC,25000.0,Automatic
28532945,2009 Toyota Corolla S,2009,261000.0,-,NB,6800.0,
28557451,2013 Toyota Corolla CE,2013,174000.0,Elmsdale,NS,9800.0,Automatic
28116554,"2021 Toyota Corolla LE - Keyless Entry, Heated Seats, Back Up Camera",2021,68875.0,Saskatoon,SK,28874.0,Automatic
24848805,"2021 Toyota Corolla LE Caméra, Bluetooth, AppleCarPlay/AndroidAuto",2021,26077.0,Dorval,QC,26699.0,Automatic
28633193,2017 Toyota Corolla LE Upgraded,2017,91500.0,-,ON,21999.0,
28188217,2019 Toyota Corolla SE,2019,107000.0,Brossard,QC,20395.0,Manual
28160816,2009 Toyota Corolla 4dr Sdn Auto S,2009,170000.0,Brantford,ON,9799.0,Automatic
28508628,2017 Toyota Corolla XSE,2017,221800.0,-,ON,13500.0,
28490874,2010 Toyota Corolla,2010,170000.0,Markham,ON,6900.0,
28307836,2008 Toyota Corolla CE,2008,193919.0,Woodbridge,ON,7495.0,Automatic
28137698,2012 Toyota Corolla,2012,146800.0,Pointe-Claire,QC,8500.0,Manual
28512244,2009 Toyota Corolla CE,2009,210980.0,Pincourt,QC,6500.0,Automatic
27639331,2020 Toyota Corolla LE,2020,132776.0,Ajax,ON,23499.0,Automatic
28600686,2018 Toyota Corolla SE,2018,100608.0,Bedford,NS,21590.0,Automatic
28382339,2012 Toyota Corolla CE,2012,130000.0,-,ON,12500.0,Automatic
28478655,2021 Toyota Corolla SE,2021,23612.0,Steinbach,MB,26973.0,Automatic
27819282,2016 Toyota Corolla 4dr Sdn CVT LE,2016,166373.0,Toronto,ON,14995.0,CVT
28493020,2021 Toyota Corolla,2021,62000.0,Brampton,ON,32000.0,Automatic
28639727,2017 Toyota Corolla,2017,102200.0,-,ON,19500.0,
28047819,2014 Toyota Corolla LE Upgrade *Leather* *Roof* *Heated Seats*,2014,124108.0,Fort McMurray,AB,16477.0,Automatic
28484626,2021 Toyota Corolla SE CVT,2021,36829.0,Ottawa,ON,28398.0,CVT
28436134,"2018 Toyota Corolla SD Heated Seats, Backup Camera, A/C, Power Windows.",2018,156639.0,Edmonton,AB,22000.0,Automatic
